
sensor,date,time,Density,Flow,Speed,
S60,2014/04/03,6 PM,48.289875,3132.0,29.630589,
S60,2014/04/03,6:30 PM,17.465982,2940.0,57.79545,
S60,2014/04/03,7 PM,15.454184,2810.0,63.49201,
S60,2014/04/03,7:30 PM,11.920063,2100.0,60.825497,
S60,2014/04/03,8 PM,11.369937,1858.0,56.78832,
S60,2014/04/03,8:30 PM,11.375471,1534.0,48.549595,
S60,2014/04/03,9 PM,13.580859,1608.0,42.258434,
S60,2014/04/03,9:30 PM,14.631301,1662.0,41.944767,
S60,2014/04/03,10 PM,13.5926,1484.0,44.600513,
S60,2014/04/03,10:30 PM,11.936656,1364.0,43.374325,
S60,2014/04/03,11 PM,9.395061,1270.0,50.600346,
S60,2014/04/03,11:30 PM,7.6046724,958.0,55.10952,
S60,2014/04/03,Midnight,5.6095653,852.0,64.31801,
S60,2014/04/04,12:30 AM,3.8430047,620.0,65.67126,
S60,2014/04/04,1 AM,3.2427993,520.0,63.880836,
S60,2014/04/04,1:30 AM,2.5539436,374.0,61.651825,
S60,2014/04/04,2 AM,2.6055408,426.0,72.08791,
S60,2014/04/04,2:30 AM,1.9177002,258.0,58.22391,
S60,2014/04/04,3 AM,1.7287247,302.0,69.113014,
S60,2014/04/04,3:30 AM,2.2047107,280.0,58.699345,
S60,2014/04/04,4 AM,1.9501088,292.0,62.15578,
S60,2014/04/04,4:30 AM,2.1970267,324.0,61.19339,
S60,2014/04/04,5 AM,3.0388258,522.0,68.67249,
S60,2014/04/04,5:30 AM,5.3137774,674.0,50.833935,
S60,2014/04/04,6 AM,12.540485,1680.0,47.410984,
S60,2014/04/04,6:30 AM,17.15849,2332.0,47.921867,
S60,2014/04/04,7 AM,26.819397,3048.0,39.74353,
S60,2014/04/04,7:30 AM,28.353415,3008.0,37.12178,
S60,2014/04/04,8 AM,32.136444,3044.0,34.12586,
S60,2014/04/04,8:30 AM,23.094734,2622.0,40.032375,
S60,2014/04/04,9 AM,21.347784,2572.0,42.44096,
S60,2014/04/04,9:30 AM,21.2287,2418.0,40.443035,
S60,2014/04/04,10 AM,20.852001,2476.0,42.021263,
S60,2014/04/04,10:30 AM,20.424465,2552.0,43.84563,
S60,2014/04/04,11 AM,16.539404,1938.0,48.999264,
S60,2014/04/04,11:30 AM,27.107973,2870.0,48.175423,
S60,2014/04/04,Noon,13.049051,2396.0,64.60285,
S60,2014/04/04,12:30 PM,15.506162,2754.0,63.10917,
S60,2014/04/04,1 PM,16.397398,3020.0,64.395065,
S60,2014/04/04,1:30 PM,15.696911,3074.0,67.87288,
S60,2014/04/04,2 PM,16.062738,3180.0,68.30926,
S60,2014/04/04,2:30 PM,16.64323,3262.0,67.71175,
S60,2014/04/04,3 PM,16.234444,3252.0,69.47754,
S60,2014/04/04,3:30 PM,16.745502,3400.0,69.64604,
S60,2014/04/04,4 PM,17.860912,3664.0,70.4326,
S60,2014/04/04,4:30 PM,17.21176,3540.0,70.14685,
S60,2014/04/04,5 PM,18.353153,3780.0,69.78652,
S60,2014/04/04,5:30 PM,18.411963,3860.0,71.66501,
S60,2014/04/04,6 PM,16.127798,3416.0,72.28523,
S60,2014/04/04,6:30 PM,15.3585825,3268.0,72.581276,
S60,2014/04/04,7 PM,16.563173,3328.0,68.824615,
S60,2014/04/04,7:30 PM,14.50564,3136.0,74.09671,
S60,2014/04/04,8 PM,12.714622,2718.0,73.18698,
S60,2014/04/04,8:30 PM,12.0312395,2540.0,72.163246,
S60,2014/04/04,9 PM,11.364987,2438.0,73.27355,
S60,2014/04/04,9:30 PM,11.441168,2488.0,73.714455,
S60,2014/04/04,10 PM,15.025971,2318.0,62.54411,
S60,2014/04/04,10:30 PM,10.977746,2338.0,73.31025,
S60,2014/04/04,11 PM,9.217478,1990.0,74.279526,
S60,2014/04/04,11:30 PM,7.775142,1682.0,73.27349,
S60,2014/04/04,Midnight,6.1889606,1314.0,73.62757,
S60,2014/04/05,12:30 AM,4.485489,968.0,76.02865,
S60,2014/04/05,1 AM,3.559742,770.0,75.40528,
S60,2014/04/05,1:30 AM,3.050524,640.0,75.247375,
S60,2014/04/05,2 AM,2.5406997,508.0,73.95901,
S60,2014/04/05,2:30 AM,2.3028767,482.0,78.16846,
S60,2014/04/05,3 AM,1.8193855,364.0,72.80075,
S60,2014/04/05,3:30 AM,1.710685,324.0,70.62785,
S60,2014/04/05,4 AM,1.384072,276.0,74.75759,
S60,2014/04/05,4:30 AM,1.3234723,264.0,75.085236,
S60,2014/04/05,5 AM,1.6929624,336.0,72.70123,
