
sensor,date,time,Density,Flow,Speed,
S62,2013/01/04,2:30 PM,26.895155,2256.0,52.031113,
S62,2013/01/04,3 PM,61.7642,3062.0,28.3515,
S62,2013/01/04,3:30 PM,30.00277,2906.0,53.363564,
S62,2013/01/04,4 PM,28.286596,2612.0,48.666805,
S62,2013/01/04,4:30 PM,29.107582,3046.0,54.911133,
S62,2013/01/04,5 PM,55.665073,2964.0,28.702738,
S62,2013/01/04,5:30 PM,51.369484,2866.0,29.905361,
S62,2013/01/04,6 PM,34.018944,2696.0,41.89523,
S62,2013/01/04,6:30 PM,23.295683,2444.0,57.480038,
S62,2013/01/04,7 PM,20.277905,2650.0,66.14444,
S62,2013/01/04,7:30 PM,17.618399,2278.0,66.00866,
S62,2013/01/04,8 PM,14.18064,1882.0,67.97945,
S62,2013/01/04,8:30 PM,12.343836,1678.0,68.95128,
S62,2013/01/04,9 PM,11.907973,1624.0,69.64553,
S62,2013/01/04,9:30 PM,13.197066,1774.0,68.749535,
S62,2013/01/04,10 PM,12.243181,1690.0,70.27183,
S62,2013/01/04,10:30 PM,12.588864,1688.0,67.68912,
S62,2013/01/04,11 PM,10.484218,1394.0,67.70401,
S62,2013/01/04,11:30 PM,7.791318,1064.0,70.13935,
S62,2013/01/04,Midnight,6.721654,892.0,68.752464,
S62,2013/01/05,12:30 AM,5.504136,696.0,66.46935,
S62,2013/01/05,1 AM,4.288223,578.0,71.14217,
S62,2013/01/05,1:30 AM,3.0156581,374.0,67.40862,
S62,2013/01/05,2 AM,2.377654,298.0,67.98558,
S62,2013/01/05,2:30 AM,2.2498162,278.0,67.39196,
S62,2013/01/05,3 AM,1.8997915,232.0,66.2216,
S62,2013/01/05,3:30 AM,1.532142,190.0,66.358765,
S62,2013/01/05,4 AM,1.4740125,172.0,66.645805,
S62,2013/01/05,4:30 AM,1.4994943,172.0,66.87675,
S62,2013/01/05,5 AM,1.9832922,240.0,66.59529,
S62,2013/01/05,5:30 AM,2.1975517,222.0,60.02601,
S62,2013/01/05,6 AM,3.4090111,436.0,68.01929,
S62,2013/01/05,6:30 AM,3.7538342,492.0,71.109055,
S62,2013/01/05,7 AM,6.33681,830.0,68.03065,
S62,2013/01/05,7:30 AM,7.1717544,916.0,66.76572,
S62,2013/01/05,8 AM,10.029071,1346.0,68.03863,
S62,2013/01/05,8:30 AM,10.506489,1410.0,68.87175,
S62,2013/01/05,9 AM,12.480264,1714.0,70.054054,
S62,2013/01/05,9:30 AM,11.994121,1636.0,69.19254,
S62,2013/01/05,10 AM,16.021029,2214.0,69.9955,
S62,2013/01/05,10:30 AM,14.579899,2040.0,70.646225,
S62,2013/01/05,11 AM,15.764384,2178.0,69.98815,
S62,2013/01/05,11:30 AM,15.741141,2226.0,71.61891,
S62,2013/01/05,Noon,17.85327,2478.0,70.582405,
S62,2013/01/05,12:30 PM,18.365065,2464.0,68.056854,
S62,2013/01/05,1 PM,22.303864,2610.0,64.58115,
S62,2013/01/05,1:30 PM,47.71269,2986.0,36.70948,
S62,2013/01/05,2 PM,17.361889,2480.0,71.755394,
S62,2013/01/05,2:30 PM,19.09042,2638.0,70.01578,
S62,2013/01/05,3 PM,19.33196,2700.0,70.44041,
S62,2013/01/05,3:30 PM,18.063282,2510.0,70.278175,
S62,2013/01/05,4 PM,19.263643,2676.0,70.34499,
S62,2013/01/05,4:30 PM,18.470938,2568.0,69.92402,
S62,2013/01/05,5 PM,19.191736,2652.0,70.05209,
S62,2013/01/05,5:30 PM,21.616495,2720.0,65.068985,
S62,2013/01/05,6 PM,21.96201,2910.0,67.106834,
S62,2013/01/05,6:30 PM,21.955303,2928.0,67.7541,
S62,2013/01/05,7 PM,20.263346,2742.0,68.5044,
S62,2013/01/05,7:30 PM,14.086766,1938.0,69.619545,
S62,2013/01/05,8 PM,9.413794,1330.0,71.44164,
S62,2013/01/05,8:30 PM,8.561628,1208.0,71.50868,
S62,2013/01/05,9 PM,8.706204,1218.0,70.6943,
S62,2013/01/05,9:30 PM,9.114498,1260.0,69.57323,
S62,2013/01/05,10 PM,10.514264,1482.0,71.06987,
S62,2013/01/05,10:30 PM,14.070856,1962.0,70.51705,
S62,2013/01/05,11 PM,14.084397,1944.0,69.820305,
S62,2013/01/05,11:30 PM,10.374322,1438.0,70.4362,
S62,2013/01/05,Midnight,7.152705,982.0,69.67097,
S62,2013/01/06,12:30 AM,5.2560806,728.0,70.75179,
S62,2013/01/06,1 AM,4.4833493,600.0,72.210464,
S62,2013/01/06,1:30 AM,3.3269205,448.0,68.54856,
S62,2013/01/06,2 AM,2.678997,366.0,70.62376,
S62,2013/01/06,2:30 AM,2.4848256,350.0,71.78236,
S62,2013/01/06,3 AM,1.9182734,252.0,68.73056,
S62,2013/01/06,3:30 AM,1.3733572,164.0,65.52147,
S62,2013/01/06,4 AM,1.3304585,176.0,69.666176,
S62,2013/01/06,4:30 AM,0.9566257,122.0,69.88662,
S62,2013/01/06,5 AM,1.2928581,176.0,70.41716,
S62,2013/01/06,5:30 AM,1.6100546,200.0,70.78022,
S62,2013/01/06,6 AM,2.0997875,270.0,68.732796,
S62,2013/01/06,6:30 AM,2.5470502,350.0,72.51013,
S62,2013/01/06,7 AM,4.2105165,582.0,70.86484,
S62,2013/01/06,7:30 AM,3.2791939,458.0,72.118576,
S62,2013/01/06,8 AM,4.9550157,692.0,72.70843,
S62,2013/01/06,8:30 AM,5.518205,784.0,74.54531,
S62,2013/01/06,9 AM,7.5679545,1060.0,71.4377,
S62,2013/01/06,9:30 AM,7.575482,1084.0,73.03259,
S62,2013/01/06,10 AM,10.929653,1570.0,72.337654,
S62,2013/01/06,10:30 AM,11.226847,1644.0,73.90778,
S62,2013/01/06,11 AM,13.035669,1870.0,72.406075,
S62,2013/01/06,11:30 AM,12.926349,1842.0,72.03758,
S62,2013/01/06,Noon,15.465089,2188.0,71.34733,
S62,2013/01/06,12:30 PM,16.026423,2234.0,70.29521,
S62,2013/01/06,1 PM,18.069038,2512.0,70.244385,
S62,2013/01/06,1:30 PM,15.928162,2212.0,70.2717,
S62,2013/01/06,2 PM,17.01635,2388.0,70.89964,
S62,2013/01/06,2:30 PM,17.341984,2420.0,70.80584,
S62,2013/01/06,3 PM,17.553282,2464.0,71.18081,
S62,2013/01/06,3:30 PM,17.088371,2422.0,71.547264,
S62,2013/01/06,4 PM,19.160328,2670.0,70.828575,
S62,2013/01/06,4:30 PM,19.143085,2656.0,70.05895,
S62,2013/01/06,5 PM,20.271822,2718.0,67.86208,
S62,2013/01/06,5:30 PM,23.378448,3068.0,66.365776,
S62,2013/01/06,6 PM,18.053791,2396.0,67.79717,
S62,2013/01/06,6:30 PM,14.983338,2044.0,68.69375,
S62,2013/01/06,7 PM,14.659807,1982.0,68.18157,
S62,2013/01/06,7:30 PM,15.212024,2084.0,69.5158,
S62,2013/01/06,8 PM,11.396089,1570.0,70.79238,
S62,2013/01/06,8:30 PM,10.788688,1486.0,70.05169,
S62,2013/01/06,9 PM,10.196573,1418.0,70.509636,
S62,2013/01/06,9:30 PM,8.372464,1170.0,71.225945,
S62,2013/01/06,10 PM,7.702006,1062.0,70.66617,
S62,2013/01/06,10:30 PM,7.537522,1048.0,71.97033,
S62,2013/01/06,11 PM,6.698358,908.0,69.98935,
S62,2013/01/06,11:30 PM,5.0095477,684.0,70.43313,
S62,2013/01/06,Midnight,3.8813825,508.0,69.698784,
S62,2013/01/07,12:30 AM,2.5399125,324.0,70.2734,
S62,2013/01/07,1 AM,2.305967,288.0,69.41316,
S62,2013/01/07,1:30 AM,1.6663448,212.0,65.57644,
S62,2013/01/07,2 AM,1.2446331,142.0,65.939,
S62,2013/01/07,2:30 AM,1.4023528,156.0,66.68177,
S62,2013/01/07,3 AM,1.2483821,146.0,66.56943,
S62,2013/01/07,3:30 AM,1.1855487,128.0,65.050896,
S62,2013/01/07,4 AM,1.7637905,192.0,71.778854,
S62,2013/01/07,4:30 AM,2.313714,252.0,64.491905,
S62,2013/01/07,5 AM,3.1141973,370.0,66.14792,
S62,2013/01/07,5:30 AM,5.507539,720.0,69.76408,
S62,2013/01/07,6 AM,11.348571,1476.0,68.07253,
S62,2013/01/07,6:30 AM,14.807896,1994.0,67.99751,
S62,2013/01/07,7 AM,26.16866,3374.0,64.9859,
S62,2013/01/07,7:30 AM,28.879667,3458.0,60.782734,
S62,2013/01/07,8 AM,40.65034,3502.0,44.837303,
S62,2013/01/07,8:30 AM,38.226246,3154.0,43.565544,
S62,2013/01/07,9 AM,27.682108,3146.0,58.46867,
S62,2013/01/07,9:30 AM,23.603966,2852.0,61.44886,
S62,2013/01/07,10 AM,21.497547,2622.0,62.193253,
S62,2013/01/07,10:30 AM,19.122252,2346.0,62.88198,
S62,2013/01/07,11 AM,19.241032,2352.0,62.445293,
S62,2013/01/07,11:30 AM,17.83321,2204.0,63.558407,
S62,2013/01/07,Noon,18.803865,2358.0,64.19906,
S62,2013/01/07,12:30 PM,19.281519,2344.0,62.567387,
S62,2013/01/07,1 PM,19.958399,2480.0,63.750393,
S62,2013/01/07,1:30 PM,19.02482,2388.0,63.75198,
S62,2013/01/07,2 PM,20.235697,2508.0,63.19259,
S62,2013/01/07,2:30 PM,19.846828,2564.0,65.48648,
S62,2013/01/07,3 PM,22.072588,2808.0,64.88121,
S62,2013/01/07,3:30 PM,21.187107,2730.0,65.572105,
S62,2013/01/07,4 PM,24.90359,2892.0,60.216534,
S62,2013/01/07,4:30 PM,23.310371,2820.0,61.751034,
S62,2013/01/07,5 PM,25.254833,3006.0,60.744873,
S62,2013/01/07,5:30 PM,31.132347,2972.0,52.851074,
S62,2013/01/07,6 PM,33.399796,2656.0,48.4582,
S62,2013/01/07,6:30 PM,30.173391,2428.0,51.577576,
S62,2013/01/07,7 PM,23.741728,2506.0,60.981213,
S62,2013/01/07,7:30 PM,15.623502,2084.0,67.95231,
S62,2013/01/07,8 PM,12.20544,1620.0,68.09438,
S62,2013/01/07,8:30 PM,11.779358,1614.0,69.42989,
S62,2013/01/07,9 PM,10.378056,1398.0,69.63427,
S62,2013/01/07,9:30 PM,11.537389,1576.0,69.39223,
S62,2013/01/07,10 PM,9.228309,1276.0,70.53442,
S62,2013/01/07,10:30 PM,7.93003,1074.0,69.17867,
S62,2013/01/07,11 PM,7.67496,1016.0,70.17907,
S62,2013/01/07,11:30 PM,5.4634657,742.0,70.6916,
S62,2013/01/07,Midnight,4.8842683,590.0,66.00318,
S62,2013/01/08,12:30 AM,3.1018436,398.0,68.25553,
S62,2013/01/08,1 AM,2.3896208,262.0,62.529873,
S62,2013/01/08,1:30 AM,1.8032033,230.0,68.82079,
S62,2013/01/08,2 AM,1.9397571,196.0,62.211285,
S62,2013/01/08,2:30 AM,1.7614248,200.0,66.949814,
S62,2013/01/08,3 AM,1.3359643,162.0,67.51048,
S62,2013/01/08,3:30 AM,1.4169753,152.0,61.54606,
S62,2013/01/08,4 AM,1.8030094,208.0,64.05468,
S62,2013/01/08,4:30 AM,1.6001911,198.0,69.74443,
S62,2013/01/08,5 AM,3.2512217,378.0,66.42821,
S62,2013/01/08,5:30 AM,5.7028594,708.0,66.49728,
S62,2013/01/08,6 AM,11.942792,1570.0,67.87218,
S62,2013/01/08,6:30 AM,15.644388,2026.0,66.60831,
S62,2013/01/08,7 AM,26.4131,3266.0,62.610302,
S62,2013/01/08,7:30 AM,30.778683,3638.0,59.951046,
S62,2013/01/08,8 AM,55.459667,3464.0,34.13428,
S62,2013/01/08,8:30 AM,42.843838,3224.0,41.791763,
S62,2013/01/08,9 AM,25.864565,3166.0,62.3157,
S62,2013/01/08,9:30 AM,23.188301,2864.0,63.00557,
S62,2013/01/08,10 AM,24.335361,2980.0,62.08356,
S62,2013/01/08,10:30 AM,19.519114,2388.0,62.7463,
S62,2013/01/08,11 AM,19.681528,2410.0,62.47682,
S62,2013/01/08,11:30 AM,19.1274,2352.0,63.71763,
S62,2013/01/08,Noon,19.431356,2382.0,62.866188,
S62,2013/01/08,12:30 PM,20.182201,2458.0,61.92904,
S62,2013/01/08,1 PM,23.20335,2856.0,62.297966,
S62,2013/01/08,1:30 PM,20.648945,2514.0,62.339664,
