
sensor,date,time,Density,Flow,Speed,
S1708,2013/01/05,8 AM,11.153334,1276.0,59.616665,
S1708,2013/01/05,8:30 AM,11.887778,1388.0,59.6,
S1708,2013/01/05,9 AM,13.794446,1644.0,59.75,
S1708,2013/01/05,9:30 AM,12.853332,1558.0,59.683334,
S1708,2013/01/05,10 AM,17.654444,2120.0,58.866665,
S1708,2013/01/05,10:30 AM,16.096666,1946.0,59.216667,
S1708,2013/01/05,11 AM,16.703335,2030.0,59.125,
S1708,2013/01/05,11:30 AM,17.395552,2124.0,59.35,
S1708,2013/01/05,Noon,19.434448,2366.0,58.883335,
S1708,2013/01/05,12:30 PM,19.501112,2280.0,57.933334,
S1708,2013/01/05,1 PM,25.395561,2476.0,54.733334,
S1708,2013/01/05,1:30 PM,54.377773,2396.0,28.958334,
S1708,2013/01/05,2 PM,19.33111,2358.0,59.325,
S1708,2013/01/05,2:30 PM,21.326668,2562.0,58.283333,
S1708,2013/01/05,3 PM,20.537777,2476.0,58.8,
S1708,2013/01/05,3:30 PM,20.008886,2418.0,58.616665,
S1708,2013/01/05,4 PM,21.321106,2574.0,58.15,
S1708,2013/01/05,4:30 PM,20.778889,2496.0,58.216667,
S1708,2013/01/05,5 PM,21.495556,2562.0,57.416668,
S1708,2013/01/05,5:30 PM,23.30667,2596.0,54.408333,
S1708,2013/01/05,6 PM,23.942217,2764.0,55.683334,
S1708,2013/01/05,6:30 PM,24.6,2832.0,56.0,
S1708,2013/01/05,7 PM,22.833334,2654.0,56.208332,
S1708,2013/01/05,7:30 PM,15.953332,1910.0,57.558334,
S1708,2013/01/05,8 PM,10.576664,1322.0,58.525,
S1708,2013/01/05,8:30 PM,9.768887,1202.0,58.0,
S1708,2013/01/05,9 PM,10.203336,1258.0,58.341667,
S1708,2013/01/05,9:30 PM,10.278888,1252.0,58.125,
S1708,2013/01/05,10 PM,12.132222,1510.0,57.95,
S1708,2013/01/05,10:30 PM,16.099998,1958.0,56.775,
S1708,2013/01/05,11 PM,15.560001,1906.0,57.475,
S1708,2013/01/05,11:30 PM,11.611111,1416.0,57.691666,
S1708,2013/01/05,Midnight,8.266668,994.0,57.591667,
S1708,2013/01/06,12:30 AM,5.9133334,726.0,58.541668,
S1708,2013/01/06,1 AM,4.8222227,584.0,57.916668,
S1708,2013/01/06,1:30 AM,3.8066669,452.0,58.00862,
S1708,2013/01/06,2 AM,3.2488892,388.0,57.767242,
S1708,2013/01/06,2:30 AM,2.912223,360.0,58.125,
S1708,2013/01/06,3 AM,2.4344444,278.0,56.973213,
S1708,2013/01/06,3:30 AM,1.6622224,174.0,58.453487,
S1708,2013/01/06,4 AM,1.5638418,182.0,57.022728,
S1708,2013/01/06,4:30 AM,1.3455557,144.0,57.444443,
S1708,2013/01/06,5 AM,1.6211113,184.0,58.30851,
S1708,2013/01/06,5:30 AM,1.9066669,210.0,59.13,
S1708,2013/01/06,6 AM,2.3955557,278.0,59.68868,
S1708,2013/01/06,6:30 AM,3.1088889,376.0,60.526787,
S1708,2013/01/06,7 AM,4.7099996,574.0,60.01695,
S1708,2013/01/06,7:30 AM,3.8244445,464.0,59.405174,
S1708,2013/01/06,8 AM,5.8088903,702.0,59.891666,
S1708,2013/01/06,8:30 AM,6.4188905,770.0,59.864407,
S1708,2013/01/06,9 AM,8.353334,1052.0,59.408333,
S1708,2013/01/06,9:30 AM,8.75111,1102.0,59.858334,
S1708,2013/01/06,10 AM,11.823335,1498.0,60.391666,
S1708,2013/01/06,10:30 AM,12.537778,1610.0,60.6,
S1708,2013/01/06,11 AM,14.635557,1850.0,60.191666,
S1708,2013/01/06,11:30 AM,14.722223,1814.0,60.125,
S1708,2013/01/06,Noon,16.987776,2102.0,59.808334,
S1708,2013/01/06,12:30 PM,17.73556,2170.0,59.525,
S1708,2013/01/06,1 PM,19.288887,2402.0,59.516666,
S1708,2013/01/06,1:30 PM,17.497778,2172.0,59.866665,
S1708,2013/01/06,2 PM,18.985558,2316.0,59.525,
S1708,2013/01/06,2:30 PM,19.478888,2382.0,59.191666,
S1708,2013/01/06,3 PM,19.484444,2388.0,59.758335,
S1708,2013/01/06,3:30 PM,19.208887,2396.0,59.775,
S1708,2013/01/06,4 PM,21.32,2606.0,58.858334,
S1708,2013/01/06,4:30 PM,21.046663,2542.0,58.091667,
S1708,2013/01/06,5 PM,22.471111,2622.0,55.883335,
S1708,2013/01/06,5:30 PM,25.511106,2940.0,55.425,
S1708,2013/01/06,6 PM,20.147774,2340.0,57.125,
S1708,2013/01/06,6:30 PM,17.085554,2046.0,57.816666,
S1708,2013/01/06,7 PM,16.257778,1946.0,57.8,
S1708,2013/01/06,7:30 PM,17.042227,2042.0,57.55,
S1708,2013/01/06,8 PM,12.798888,1524.0,58.341667,
S1708,2013/01/06,8:30 PM,12.427776,1508.0,58.266666,
S1708,2013/01/06,9 PM,11.571113,1418.0,58.541668,
S1708,2013/01/06,9:30 PM,9.8955555,1188.0,58.7,
S1708,2013/01/06,10 PM,8.534443,1032.0,59.025,
S1708,2013/01/06,10:30 PM,8.66,1042.0,58.558334,
S1708,2013/01/06,11 PM,7.551111,902.0,58.891666,
S1708,2013/01/06,11:30 PM,5.647777,674.0,58.725,
S1708,2013/01/06,Midnight,4.4077773,504.0,58.45,
S1708,2013/01/07,12:30 AM,3.0311117,334.0,58.4375,
S1708,2013/01/07,1 AM,2.8744445,290.0,58.145832,
S1708,2013/01/07,1:30 AM,1.9088889,222.0,57.44898,
S1708,2013/01/07,2 AM,1.6533335,160.0,59.077778,
S1708,2013/01/07,2:30 AM,1.8311108,166.0,57.05814,
S1708,2013/01/07,3 AM,1.408889,142.0,58.511364,
S1708,2013/01/07,3:30 AM,1.5344445,146.0,59.666668,
S1708,2013/01/07,4 AM,2.3811111,212.0,59.45,
S1708,2013/01/07,4:30 AM,2.8777776,264.0,60.482456,
S1708,2013/01/07,5 AM,3.8655562,394.0,61.23729,
S1708,2013/01/07,5:30 AM,6.55,754.0,61.152542,
S1708,2013/01/07,6 AM,13.214445,1442.0,60.975,
S1708,2013/01/07,6:30 AM,17.428888,2008.0,60.383335,
S1708,2013/01/07,7 AM,29.74889,3224.0,56.175,
S1708,2013/01/07,7:30 AM,33.26889,3366.0,53.391666,
S1708,2013/01/07,8 AM,39.43889,3246.0,44.525,
S1708,2013/01/07,8:30 AM,43.977776,2984.0,40.416668,
S1708,2013/01/07,9 AM,30.762224,2990.0,53.591667,
S1708,2013/01/07,9:30 AM,27.20889,2798.0,56.833332,
S1708,2013/01/07,10 AM,24.742222,2564.0,57.708332,
S1708,2013/01/07,10:30 AM,22.74445,2316.0,58.508335,
S1708,2013/01/07,11 AM,22.515556,2288.0,59.483334,
S1708,2013/01/07,11:30 AM,20.378887,2132.0,59.508335,
S1708,2013/01/07,Noon,21.17222,2242.0,59.475,
S1708,2013/01/07,12:30 PM,22.252226,2316.0,59.025,
S1708,2013/01/07,1 PM,23.44111,2452.0,59.066666,
S1708,2013/01/07,1:30 PM,22.273329,2364.0,58.958332,
S1708,2013/01/07,2 PM,23.684446,2472.0,58.725,
S1708,2013/01/07,2:30 PM,23.12889,2506.0,58.85,
S1708,2013/01/07,3 PM,25.19444,2730.0,58.533333,
S1708,2013/01/07,3:30 PM,24.573334,2684.0,58.283333,
S1708,2013/01/07,4 PM,25.583336,2806.0,57.525,
S1708,2013/01/07,4:30 PM,24.968891,2716.0,56.216667,
S1708,2013/01/07,5 PM,26.301111,2832.0,55.1,
S1708,2013/01/07,5:30 PM,27.308886,2802.0,53.075,
S1708,2013/01/07,6 PM,24.103336,2478.0,52.566666,
S1708,2013/01/07,6:30 PM,23.146667,2410.0,53.675,
S1708,2013/01/07,7 PM,21.93333,2398.0,55.525,
S1708,2013/01/07,7:30 PM,17.572224,2032.0,57.891666,
S1708,2013/01/07,8 PM,13.453337,1570.0,58.425,
S1708,2013/01/07,8:30 PM,13.169998,1572.0,58.85,
S1708,2013/01/07,9 PM,12.085556,1400.0,58.533333,
S1708,2013/01/07,9:30 PM,13.226665,1588.0,58.3,
S1708,2013/01/07,10 PM,10.637778,1264.0,59.341667,
S1708,2013/01/07,10:30 PM,9.052222,1076.0,59.125,
S1708,2013/01/07,11 PM,9.124446,1034.0,59.083332,
S1708,2013/01/07,11:30 PM,6.326666,744.0,58.925,
S1708,2013/01/07,Midnight,5.9377775,612.0,59.525,
S1708,2013/01/08,12:30 AM,3.5233338,402.0,59.603447,
S1708,2013/01/08,1 AM,2.9988897,286.0,58.173077,
S1708,2013/01/08,1:30 AM,2.3433335,254.0,58.57143,
S1708,2013/01/08,2 AM,2.534444,214.0,57.606384,
S1708,2013/01/08,2:30 AM,2.1599998,202.0,58.86,
S1708,2013/01/08,3 AM,1.5600001,166.0,58.58889,
S1708,2013/01/08,3:30 AM,1.6644444,160.0,58.933334,
S1708,2013/01/08,4 AM,2.1900003,220.0,58.89,
S1708,2013/01/08,4:30 AM,2.028889,196.0,60.638298,
S1708,2013/01/08,5 AM,3.8744442,390.0,60.418182,
S1708,2013/01/08,5:30 AM,7.342223,764.0,60.541668,
S1708,2013/01/08,6 AM,13.991109,1548.0,61.241665,
