date ,time ,S60,S124,S1816
03/01/2013,5:30 pm,41.163345,16.852802,67.689995
03/01/2013,6:00 pm,28.54976,13.294213,51.173332
03/01/2013,6:30 pm,17.262966,13.441884,26.751673
03/01/2013,7:00 pm,16.04864,11.52348,20.79
03/01/2013,7:30 pm,12.5554085,8.388761,18.053337
03/01/2013,8:00 pm,10.635496,7.7448406,15.988332
03/01/2013,8:30 pm,10.403276,6.975209,14.698335
03/01/2013,9:00 pm,9.120572,6.5196695,14.081112
03/01/2013,9:30 pm,9.750253,7.191498,12.702221
03/01/2013,10:00 pm,8.302148,5.9710264,10.95389
03/01/2013,10:30 pm,8.458573,5.356985,10.4811125
03/01/2013,11:00 pm,6.415786,4.0808434,8.308889
03/01/2013,11:30 pm,4.755116,3.8599098,7.292778
03/01/2013,Midnight,4.0467405,3.908864,6.3333344
04/01/2013,12:30 am,2.8259895,2.596825,4.869444
04/01/2013,1:00 am,2.5271323,1.9331996,3.946667
04/01/2013,1:30 am,1.7644023,1.4309897,3.4433331
04/01/2013,2:00 am,1.77853,1.14479,2.826111
04/01/2013,2:30 am,1.6812961,1.4041526,2.883334
04/01/2013,3:00 am,1.1880419,1.2400976,2.7255552
04/01/2013,3:30 am,1.2457492,0.86892956,2.5755556
04/01/2013,4:00 am,1.6537069,0.891672,2.2344437
04/01/2013,4:30 am,1.8833042,1.0307975,2.737222
04/01/2013,5:00 am,2.340188,1.3828117,3.8327782
04/01/2013,5:30 am,4.42285,2.0888846,5.2816668
04/01/2013,6:00 am,10.188937,4.0133657,9.447776
04/01/2013,6:30 am,13.346849,5.3001904,14.382223
04/01/2013,7:00 am,23.519203,7.5348706,22.585554
04/01/2013,7:30 am,28.56083,8.628076,27.15444
04/01/2013,8:00 am,36.348892,9.567441,33.52611
04/01/2013,8:30 am,34.777607,8.231906,29.472776
04/01/2013,9:00 am,28.421972,7.4890313,27.551113
04/01/2013,9:30 am,21.097467,7.7217283,23.842777
04/01/2013,10:00 am,20.25305,7.845479,23.825554
04/01/2013,10:30 am,16.79806,7.905698,22.614449
04/01/2013,11:00 am,16.778708,8.479893,25.025988
04/01/2013,11:30 am,16.848967,8.944848,24.30056
04/01/2013,Noon,17.358747,9.601902,24.77278
04/01/2013,12:30 pm,16.46035,9.142259,25.213892
04/01/2013,1:00 pm,18.2624,9.377263,25.453335
04/01/2013,1:30 pm,17.953918,10.587564,24.10333
04/01/2013,2:00 pm,18.122118,11.832229,26.658333
04/01/2013,2:30 pm,43.526196,12.999869,29.944998
04/01/2013,3:00 pm,22.870985,13.313074,29.11111
04/01/2013,3:30 pm,19.951895,14.448192,33.40833
04/01/2013,4:00 pm,19.864546,16.578602,47.13056
04/01/2013,4:30 pm,24.820993,17.303013,77.583336
04/01/2013,5:00 pm,24.5873,16.637136,72.00166
04/01/2013,5:30 pm,22.451342,16.329212,65.60944
04/01/2013,6:00 pm,20.463875,15.123096,58.811108
04/01/2013,6:30 pm,16.523964,13.643653,24.05
04/01/2013,7:00 pm,16.923483,10.678568,23.297777
04/01/2013,7:30 pm,14.388243,9.659267,18.025
04/01/2013,8:00 pm,11.940448,7.8525796,15.742222
04/01/2013,8:30 pm,10.356647,7.4813647,15.117223
04/01/2013,9:00 pm,10.14136,6.7514424,13.620555
04/01/2013,9:30 pm,11.349267,7.4868517,14.02722
04/01/2013,10:00 pm,9.899285,6.867675,13.050556
04/01/2013,10:30 pm,10.718021,7.1702323,12.821667
04/01/2013,11:00 pm,8.554208,6.004901,11.303891
04/01/2013,11:30 pm,6.4319634,5.383064,8.996112
04/01/2013,Midnight,5.583137,4.7078466,8.593888
05/01/2013,12:30 am,4.25641,3.434207,6.717778
05/01/2013,1:00 am,3.3760636,3.0420299,5.4611115
05/01/2013,1:30 am,2.4072778,2.2378075,4.6588893
05/01/2013,2:00 am,2.0730188,2.1797535,4.5955563
05/01/2013,2:30 am,1.8020511,2.1383092,4.1944447
05/01/2013,3:00 am,1.516341,1.7050567,3.3816667
05/01/2013,3:30 am,1.1687411,1.4554244,2.9672234
05/01/2013,4:00 am,1.1856272,1.2650598,2.0033898
05/01/2013,4:30 am,1.2323657,1.1716235,2.1038885
05/01/2013,5:00 am,1.5980785,1.1866702,2.2233331
05/01/2013,5:30 am,1.7013195,1.1218045,2.4483328
05/01/2013,6:00 am,2.7563248,1.6470844,3.158889
05/01/2013,6:30 am,3.1421816,1.9469107,4.382222
05/01/2013,7:00 am,5.1911817,2.3069408,6.8555555
05/01/2013,7:30 am,5.6491404,2.6711748,6.7616673
05/01/2013,8:00 am,8.044638,3.055015,9.29
05/01/2013,8:30 am,8.526208,4.8466825,10.546112
05/01/2013,9:00 am,10.46726,4.687434,13.547773
05/01/2013,9:30 am,9.418281,4.5726976,14.742219
05/01/2013,10:00 am,13.069634,5.8443217,15.802777
05/01/2013,10:30 am,11.805245,6.267509,18.084444
05/01/2013,11:00 am,13.135153,7.4214225,18.916666
05/01/2013,11:30 am,12.934005,7.8687444,18.581112
05/01/2013,Noon,15.250869,8.804962,19.73166
05/01/2013,12:30 pm,17.260378,8.980928,20.332222
05/01/2013,1:00 pm,15.687293,9.073496,20.27278
05/01/2013,1:30 pm,19.002987,8.721294,19.00889
05/01/2013,2:00 pm,15.027426,9.289357,20.138332
05/01/2013,2:30 pm,16.246758,10.617805,20.01778
05/01/2013,3:00 pm,16.340218,10.173525,20.681671
05/01/2013,3:30 pm,15.578095,9.791047,21.721668
05/01/2013,4:00 pm,16.564665,11.239473,20.588335
05/01/2013,4:30 pm,15.86141,10.940678,21.021107
05/01/2013,5:00 pm,17.415344,11.0794,20.143335
05/01/2013,5:30 pm,18.223436,10.716871,20.552773
05/01/2013,6:00 pm,17.985077,10.115345,19.73166
05/01/2013,6:30 pm,19.05982,10.296815,19.034998
05/01/2013,7:00 pm,17.304342,9.05142,17.63667
05/01/2013,7:30 pm,11.900396,7.3959284,13.126665
05/01/2013,8:00 pm,8.220829,6.005603,10.748334
05/01/2013,8:30 pm,7.1097193,5.160046,9.387221
05/01/2013,9:00 pm,7.446726,5.217643,9.858333
05/01/2013,9:30 pm,7.4383726,5.087873,9.879443
05/01/2013,10:00 pm,8.840649,5.709815,11.132222
05/01/2013,10:30 pm,12.056568,6.8945866,13.372782
05/01/2013,11:00 pm,11.163306,6.809716,12.568334
05/01/2013,11:30 pm,8.131156,5.3062506,9.196112
05/01/2013,Midnight,5.9750414,4.620408,7.568333
06/01/2013,12:30 am,4.132811,3.4977477,5.860555
06/01/2013,1:00 am,3.35094,2.6057942,4.8800006
06/01/2013,1:30 am,2.6682549,1.9429897,4.1744447
06/01/2013,2:00 am,2.3048744,1.896581,3.7377775
06/01/2013,2:30 am,1.9712697,2.3789778,4.5161104
06/01/2013,3:00 am,1.7834989,1.797681,3.4049997
06/01/2013,3:30 am,1.1618257,1.2325355,2.6005554
06/01/2013,4:00 am,1.0153381,0.93626344,1.8527775
06/01/2013,4:30 am,0.9304574,0.9911528,1.6205556
06/01/2013,5:00 am,1.1301867,0.82941186,1.368889
06/01/2013,5:30 am,1.3228093,0.77501595,1.6744444
06/01/2013,6:00 am,1.7974819,1.0712589,1.9794447
06/01/2013,6:30 am,2.2181828,1.3765163,3.2172227
06/01/2013,7:00 am,3.570727,1.4954277,3.9633336
06/01/2013,7:30 am,2.779644,1.9342686,4.1016665
06/01/2013,8:00 am,4.7028074,2.962566,5.675555
06/01/2013,8:30 am,4.413972,2.6494534,6.1988893
06/01/2013,9:00 am,6.595019,3.0204248,8.503333
06/01/2013,9:30 am,7.0775323,3.5486414,9.253889
06/01/2013,10:00 am,8.919239,4.358524,11.565556
06/01/2013,10:30 am,9.473094,4.826475,12.529999
06/01/2013,11:00 am,11.352015,5.889702,14.034446
06/01/2013,11:30 am,10.682072,6.5205994,13.947224
06/01/2013,Noon,12.428756,7.235825,15.328334
06/01/2013,12:30 pm,12.945077,7.4937086,17.55778
06/01/2013,1:00 pm,14.378277,8.431844,18.291111
06/01/2013,1:30 pm,13.025315,8.643441,17.74
06/01/2013,2:00 pm,13.501592,8.493108,18.524443
06/01/2013,2:30 pm,13.909188,9.357949,18.001106
06/01/2013,3:00 pm,14.115245,9.1076,19.34722
06/01/2013,3:30 pm,13.920323,9.236421,17.247225
06/01/2013,4:00 pm,15.27201,9.875524,18.621668
06/01/2013,4:30 pm,15.034802,9.4431505,17.616667
06/01/2013,5:00 pm,16.448427,9.105852,17.6
06/01/2013,5:30 pm,17.800148,9.821461,17.677774
06/01/2013,6:00 pm,14.741746,8.522816,16.073887
06/01/2013,6:30 pm,12.429732,8.725722,14.549444
06/01/2013,7:00 pm,12.065351,7.4114413,13.405554
06/01/2013,7:30 pm,11.647256,7.1488876,12.839999
06/01/2013,8:00 pm,8.843688,6.6927314,12.249444
06/01/2013,8:30 pm,8.6544485,6.754038,12.827776
06/01/2013,9:00 pm,8.351856,6.432603,11.126666
06/01/2013,9:30 pm,7.625352,5.4872837,9.36889
06/01/2013,10:00 pm,6.0615926,4.1076827,8.3088875
06/01/2013,10:30 pm,5.9780827,4.011111,7.7583346
06/01/2013,11:00 pm,5.337022,2.9135969,6.163333
06/01/2013,11:30 pm,3.9093313,3.0463195,5.0994444
06/01/2013,Midnight,2.9694102,2.663339,4.7033334
07/01/2013,12:30 am,1.8908457,1.6681483,3.2744443
07/01/2013,1:00 am,1.8144505,1.6836959,2.454444
07/01/2013,1:30 am,1.3040587,1.146393,2.003889
07/01/2013,2:00 am,0.9767075,0.943804,1.8327777
07/01/2013,2:30 am,1.0896183,1.1221645,1.9377773
07/01/2013,3:00 am,0.8582887,0.8352314,1.7683332
07/01/2013,3:30 am,1.014027,0.658575,1.6111109
07/01/2013,4:00 am,1.4935035,0.84256345,1.63
07/01/2013,4:30 am,1.8210171,0.87220657,2.3077774
07/01/2013,5:00 am,2.4274268,1.4486182,3.3683333
