
sensor,date,time,Density,Flow,Speed,
S61,2013/01/03,1 PM,20.875347,2568.0,61.64739,
S61,2013/01/03,1:30 PM,19.36934,2392.0,62.711723,
S61,2013/01/03,2 PM,21.138103,2636.0,63.518578,
S61,2013/01/03,2:30 PM,21.701542,2630.0,62.68598,
S61,2013/01/03,3 PM,23.651455,2900.0,62.512337,
S61,2013/01/03,3:30 PM,23.611088,2936.0,63.02744,
S61,2013/01/03,4 PM,22.060781,2806.0,64.39703,
S61,2013/01/03,4:30 PM,23.031935,2762.0,61.352726,
S61,2013/01/03,5 PM,72.38642,2602.0,21.579618,
S61,2013/01/03,5:30 PM,87.19617,2406.0,14.977215,
S61,2013/01/03,6 PM,79.9095,2460.0,16.688032,
S61,2013/01/03,6:30 PM,31.67228,2590.0,49.253178,
S61,2013/01/03,7 PM,19.817923,2512.0,64.810715,
S61,2013/01/03,7:30 PM,15.350086,2046.0,67.57814,
S61,2013/01/03,8 PM,13.705669,1826.0,67.78423,
S61,2013/01/03,8:30 PM,12.406134,1714.0,69.68576,
S61,2013/01/03,9 PM,11.2307,1544.0,69.50072,
S61,2013/01/03,9:30 PM,11.685587,1574.0,68.819115,
S61,2013/01/03,10 PM,10.29605,1418.0,71.163345,
S61,2013/01/03,10:30 PM,10.569513,1386.0,67.66297,
S61,2013/01/03,11 PM,8.26605,1106.0,68.48886,
S61,2013/01/03,11:30 PM,5.8379498,750.0,68.29191,
S61,2013/01/03,Midnight,5.2659435,700.0,70.86724,
S61,2013/01/04,12:30 AM,3.7902098,464.0,66.77067,
S61,2013/01/04,1 AM,3.2154326,398.0,67.499,
S61,2013/01/04,1:30 AM,2.3977585,264.0,65.02622,
S61,2013/01/04,2 AM,2.181771,256.0,66.13532,
S61,2013/01/04,2:30 AM,2.1802888,254.0,64.76563,
S61,2013/01/04,3 AM,1.5236067,194.0,71.43942,
S61,2013/01/04,3:30 AM,1.6929523,192.0,66.576035,
S61,2013/01/04,4 AM,2.1210814,226.0,62.964252,
S61,2013/01/04,4:30 AM,2.4451506,262.0,64.550026,
S61,2013/01/04,5 AM,2.5904412,314.0,68.30792,
S61,2013/01/04,5:30 AM,5.147306,640.0,68.68225,
S61,2013/01/04,6 AM,11.39474,1480.0,67.29034,
S61,2013/01/04,6:30 AM,14.4006,1874.0,69.25547,
S61,2013/01/04,7 AM,23.228603,2930.0,64.106445,
S61,2013/01/04,7:30 AM,26.115644,3178.0,62.155724,
S61,2013/01/04,8 AM,54.82134,3302.0,35.385487,
S61,2013/01/04,8:30 AM,40.09693,3038.0,47.450447,
S61,2013/01/04,9 AM,26.513414,3156.0,60.11122,
S61,2013/01/04,9:30 AM,21.383986,2632.0,62.91009,
S61,2013/01/04,10 AM,22.437105,2750.0,62.071312,
S61,2013/01/04,10:30 AM,19.889387,2398.0,61.23253,
S61,2013/01/04,11 AM,19.641935,2396.0,62.38102,
S61,2013/01/04,11:30 AM,20.496155,2496.0,62.001045,
S61,2013/01/04,Noon,20.382244,2534.0,63.116867,
S61,2013/01/04,12:30 PM,20.36774,2620.0,65.311165,
S61,2013/01/04,1 PM,21.710955,2756.0,64.10561,
S61,2013/01/04,1:30 PM,20.626427,2630.0,64.6551,
S61,2013/01/04,2 PM,21.964413,2770.0,64.52615,
S61,2013/01/04,2:30 PM,34.884117,2126.0,42.86323,
S61,2013/01/04,3 PM,54.283993,2988.0,34.492317,
S61,2013/01/04,3:30 PM,22.720263,2790.0,62.920906,
S61,2013/01/04,4 PM,21.105635,2504.0,60.56554,
S61,2013/01/04,4:30 PM,25.674847,2922.0,58.317204,
S61,2013/01/04,5 PM,58.351635,2742.0,30.852306,
S61,2013/01/04,5:30 PM,66.59458,2586.0,24.117573,
S61,2013/01/04,6 PM,25.099459,2498.0,52.800167,
S61,2013/01/04,6:30 PM,18.666157,2340.0,64.55706,
S61,2013/01/04,7 PM,19.782253,2596.0,66.39943,
S61,2013/01/04,7:30 PM,17.106602,2238.0,66.88616,
S61,2013/01/04,8 PM,13.980516,1866.0,68.08965,
S61,2013/01/04,8:30 PM,12.314575,1682.0,69.18581,
S61,2013/01/04,9 PM,11.854478,1616.0,69.58088,
S61,2013/01/04,9:30 PM,13.064409,1790.0,69.84541,
S61,2013/01/04,10 PM,11.919692,1668.0,70.96879,
S61,2013/01/04,10:30 PM,12.851466,1752.0,68.76773,
S61,2013/01/04,11 PM,10.252549,1412.0,70.24741,
S61,2013/01/04,11:30 PM,7.9383006,1086.0,70.25945,
S61,2013/01/04,Midnight,6.9736547,948.0,69.69974,
S61,2013/01/05,12:30 AM,5.359236,684.0,66.74004,
S61,2013/01/05,1 AM,4.270638,574.0,69.32875,
S61,2013/01/05,1:30 AM,3.0900269,400.0,67.17537,
S61,2013/01/05,2 AM,2.4184813,310.0,70.44061,
S61,2013/01/05,2:30 AM,2.2028053,286.0,68.508804,
S61,2013/01/05,3 AM,1.9243603,248.0,69.73104,
S61,2013/01/05,3:30 AM,1.514687,194.0,71.65314,
